GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
airlines,com.example.demo.service.impl,FareServiceImpl,27,8,0,0,6,2,4,2,4,2
airlines,com.example.demo.service.impl,PassengerServiceImpl,27,16,1,1,6,4,4,3,3,3
airlines,com.example.demo.service.impl,BookingServiceImpl,26,49,3,1,5,9,4,4,2,4
airlines,com.example.demo.service.impl,FlightServiceImpl,27,50,4,4,6,11,6,7,2,7
airlines,com.example.demo.controller,BookingController,95,105,4,2,15,22,5,2,2,2
airlines,com.example.demo.controller,FlightController,0,41,0,2,0,6,0,4,0,3
airlines,com.example.demo.controller,FareController,2,61,1,1,1,9,1,2,0,2
airlines,com.example.demo.entity,Booking,43,27,0,0,19,11,12,4,12,4
airlines,com.example.demo.entity,Passenger,0,38,0,0,0,16,0,11,0,11
airlines,com.example.demo.entity,Fare,22,24,0,0,9,11,3,7,3,7
airlines,com.example.demo.entity,Flight,0,51,0,0,0,22,0,13,0,13
airlines,com.example.demo.handler,ControllerExceptionHandler,7,9,0,0,4,4,2,2,2,2
airlines,com.example.demo,AirlinesApplication,5,3,0,0,2,1,1,1,1,1
airlines,com.example.demo.dto,BookingDto,0,38,0,0,0,16,0,11,0,11
airlines,com.example.demo.common,Common.PreferredClass,0,24,0,0,0,2,0,1,0,1
airlines,com.example.demo.common,Common.Gender,0,34,0,0,0,2,0,1,0,1
airlines,com.example.demo.common,Common,3,0,0,0,1,0,1,0,1,0
